cycle,state,hpi,year,month,date,type
1975M01,AK,34.42882347,1975,01,1/1/1975,State
1975M02,AK,34.93951129,1975,02,2/1/1975,State
1975M03,AK,35.46225134,1975,03,3/1/1975,State
1975M04,AK,36.00768436,1975,04,4/1/1975,State
1975M05,AK,36.6033188,1975,05,5/1/1975,State
1975M06,AK,37.24098267,1975,06,6/1/1975,State
1975M07,AK,37.87877599,1975,07,7/1/1975,State
1975M08,AK,38.46002916,1975,08,8/1/1975,State
1975M09,AK,38.96656846,1975,09,9/1/1975,State
1975M10,AK,39.42678794,1975,10,10/1/1975,State
1975M11,AK,39.83581229,1975,11,11/1/1975,State
1975M12,AK,40.17350353,1975,12,12/1/1975,State
1976M01,AK,40.44316549,1976,01,1/1/1976,State
1976M02,AK,40.66941402,1976,02,2/1/1976,State
1976M03,AK,40.88055724,1976,03,3/1/1976,State
1976M04,AK,41.08929577,1976,04,4/1/1976,State
1976M05,AK,41.2969075,1976,05,5/1/1976,State
1976M06,AK,41.49811604,1976,06,6/1/1976,State
1976M07,AK,41.66925349,1976,07,7/1/1976,State
1976M08,AK,41.80113397,1976,08,8/1/1976,State
1976M09,AK,41.95943773,1976,09,9/1/1976,State
1976M10,AK,42.20368175,1976,10,10/1/1976,State
1976M11,AK,42.53072129,1976,11,11/1/1976,State
1976M12,AK,42.92472223,1976,12,12/1/1976,State
1977M01,AK,43.34617558,1977,01,1/1/1977,State
1977M02,AK,43.73815075,1977,02,2/1/1977,State
1977M03,AK,44.05446138,1977,03,3/1/1977,State
1977M04,AK,44.29704721,1977,04,4/1/1977,State
1977M05,AK,44.51126279,1977,05,5/1/1977,State
1977M06,AK,44.73118653,1977,06,6/1/1977,State
1977M07,AK,44.97502793,1977,07,7/1/1977,State
1977M08,AK,45.23137401,1977,08,8/1/1977,State
1977M09,AK,45.4812675,1977,09,9/1/1977,State
1977M10,AK,45.73515025,1977,10,10/1/1977,State
1977M11,AK,46.01521778,1977,11,11/1/1977,State
